Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,poor village attack bandit recruit seven unemployed samurai help defend,negative,0
It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,angel sent heaven help desperately frustrated businessman showing life would like never existed,negative,0
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings facetoface alterego joker,negative,0
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,promising young drummer enrolls cutthroat music conservatory dream greatness mentored instructor stop nothing realize student potential,positive,2
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",becomes quadriplegic paragliding accident aristocrat hire young man project caregiver,positive,2
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",tragic accident two stage magician engage battle create ultimate illusion sacrificing everything outwit,negative,0
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,undercover cop mole police attempt identify infiltrating irish gang south boston,neutral,1
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,polish jewish musician struggle survive destruction warsaw ghetto world war ii,neutral,1
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,former roman general set exact vengeance corrupt emperor murdered family sent slavery,negative,0
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,former neonazi skinhead try prevent younger brother going wrong path,negative,0
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",sole survivor tell twisty event leading horrific gun battle boat began five criminal met seemingly random police lineup,negative,0
Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",mathilda yearold girl reluctantly taken léon professional assassin family murdered unusual relationship form becomes protégée learns assassin trade,positive,2
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",lion prince simba father targeted bitter uncle want ascend throne,negative,1
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",cyborg identical one failed kill sarah connor must protect teenage son john connor advanced powerful cyborg,positive,2
Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,filmmaker recall childhood falling love picture cinema home village form deep friendship cinema projectionist,positive,2
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,young boy little sister struggle survive japan world war ii,negative,0
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",marty mcfly yearold high school student accidentally sent thirty year past timetraveling delorean invented close friend eccentric scientist doc brown,negative,0
Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroad,negative,0
Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",phoenix secretary embezzles employer client go run check remote motel run young man domination mother,neutral,0
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco,negative,0
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,tramp struggle live modern industrial society help young homeless woman,positive,2
City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medically,positive,2
Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",serving fiveyear sentence violent crime yearold boy sue parent neglect,negative,0
Ayla: The Daughter of War,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",amidst ravage korean war sergeant süleyman stumble upon halffrozen little girl parent help sight frantic scared verge death see full summary »,positive,1
Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",vikram nononsense police officer accompanied simon partner hunt capture vedha smuggler murderer vedha try change vikrams life lead conflict,neutral,0
Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",two stranger find linked bizarre way connection form distance thing keep apart,positive,2
Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,former wrestler mahavir singh phogat two wrestler daughter struggle towards glory commonwealth game face societal oppression,negative,0
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",teen mile morale becomes spiderman universe must join five spiderpowered individual dimension stop threat reality,neutral,0
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",devastating event avenger infinity war universe ruin help remaining ally avenger assemble order reverse thanos action restore balance universe,negative,1
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe,positive,1
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",aspiring musician miguel confronted family ancestral ban music enters land dead find greatgreatgrandfather legendary singer,positive,2
Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner,negative,0
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",eight year joker reign anarchy batman help enigmatic catwoman forced exile save gotham city brutal guerrilla terrorist bane,negative,0
3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",two friend searching long lost companion revisit college day recall memory friend inspired think differently even rest world called idiot,negative,0
Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",eightyearold boy thought lazy troublemaker new art teacher patience compassion discover real problem behind struggle school,negative,2
WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind,negative,0
The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",east berlin agent secret police conducting surveillance writer lover find becoming increasingly absorbed life,positive,2
Oldeuboi,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",kidnapped imprisoned fifteen year oh daesu released find must find captor five day,neutral,0
Memento,A man with short-term memory loss attempts to track down his wife's murderer.,man shortterm memory loss attempt track wife murderer,neutral,1
Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",journey find cure tatarigamis curse ashitaka find middle war forest god tatara mining colony quest also meet san mononoke hime,neutral,2
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",former prohibitionera jewish gangster return lower east side manhattan thirty year later must confront ghost regret old life,positive,2
Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",archaeologist adventurer indiana jones hired u government find ark covenant adolf hitler nazi obtain awesome power,positive,2
The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",family head isolated hotel winter sinister presence influence father violence psychic son see horrific foreboding past future,negative,0
Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,u army officer serving vietnam tasked assassinating renegade special force colonel see god,positive,2
Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",space merchant vessel receives unknown transmission distress call one crew attacked mysterious life form soon realize life cycle merely begun,negative,2
Anand,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",story terminally ill man wish live life fullest inevitable occurs told best friend,positive,2
Tengoku to jigoku,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,executive shoe company becomes victim extortion chauffeur son kidnapped held ransom,negative,2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,insane general trigger path nuclear holocaust war room full politician general frantically try stop,negative,0
Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,veteran british barrister must defend client murder trial surprise surprise,neutral,1
Paths of Glory,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",refusing attack enemy position general accuses soldier cowardice commanding officer must defend,positive,2
Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,wheelchairbound photographer spy neighbor apartment window becomes convinced one committed murder,neutral,1
Sunset Blvd.,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,screenwriter develops dangerous relationship faded film star determined make triumphant return,negative,0
The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkels regime,negative,0
1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",april th regiment assembles wage war deep enemy territory two soldier assigned race time deliver message stop men walking straight deadly trap,neutral,0
Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,mythological story goddess created entire universe plot revolves around consequence human build temple firstborn,neutral,1
Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",series mysterious event change life blind pianist must report crime technically know nothing,negative,0
Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,man go extreme length save family punishment family commits accidental crime,negative,0
Jagten,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",teacher life lonely life struggling son custody life slowly get better find love receives good news son new luck brutally shattered innocent little lie,positive,2
Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,married couple faced difficult decision improve life child moving another country stay iran look deteriorating parent alzheimers disease,negative,0
Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,twin journey middle east discover family history fulfill mother last wish,neutral,1
Miracle in cell NO.7,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,story love mentallyill father wrongly accused murder lovely six year old daughter prison would home based korean movie beonbangui seonmul,positive,2
Babam ve Oglum,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,family leftwing journalist torn apart military coup turkey,negative,0
Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",nazioccupied france world war ii plan assassinate nazi leader group jewish u soldier coincides theatre owner vengeful plan,neutral,1
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",relationship turn sour couple undergoes medical procedure erased memory,negative,0
Amélie,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",amélie innocent naive girl paris sense justice decides help around along way discovers love,positive,2
Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",unscrupulous boxing promoter violent bookmaker russian gangster incompetent amateur robber supposedly jewish jeweler fight track priceless stolen diamond,negative,0
Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,druginduced utopia four coney island people shattered addiction run deep,neutral,1
American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,sexually frustrated suburban father midlife crisis becoming infatuated daughter best friend,positive,2
Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",hunting janitor mit gift mathematics need help psychologist find direction life,neutral,2
Bacheha-Ye aseman,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",boy loses sister pair shoe go series adventure order find cant try new way win new pair,positive,2
Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,cowboy doll profoundly threatened jealous new spaceman figure supplants top toy boy room,positive,2
Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,scottish warrior william wallace lead countryman rebellion free homeland tyranny king edward england,positive,2
Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",simple jewelry heist go horribly wrong surviving criminal begin suspect one police informant,negative,0
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,pragmatic u marine observes dehumanizing effect vietnam war fellow recruit brutal boot camp training bloody street fighting hue,negative,0
Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",finding old rifle young boy join soviet resistance movement ruthless german force experience horror world war ii,negative,0
Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",fiftyseven year surviving apocalyptic attack aboard space vessel merciless space creature officer ripley awakens hypersleep try warn anyone listen predator,negative,0
Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",life success trouble wolfgang amadeus mozart told antonio salieri contemporaneous composer insanely jealous mozart talent claimed murdered,negative,1
Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",miami determined cuban immigrant take drug cartel succumbs greed,neutral,0
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",daring mission rescue han solo jabba hutt rebel dispatch endor destroy second death star meanwhile luke struggle help darth vader back dark side without falling emperor trap,negative,0
Das Boot,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",claustrophobic world wwii german uboat boredom filth sheer terror,negative,2
Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",mentally unstable veteran work nighttime taxi driver new york city perceived decadence sleaze fuel urge violent action attempting liberate presidential campaign worker underage prostitute,negative,0
The Sting,Two grifters team up to pull off the ultimate con.,two grifter team pull ultimate con,neutral,0
A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",future sadistic gang leader imprisoned volunteer conductaversion experiment doesnt go planned,neutral,1
2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",discovering mysterious artifact buried beneath lunar surface mankind set quest find origin help intelligent supercomputer hal,positive,2
Per qualche dollaro in più,Two bounty hunters with the same intentions team up to track down a Western outlaw.,two bounty hunter intention team track western outlaw,neutral,0
Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",story te lawrence english officer successfully united led diverse often warring arab tribe world war order fight turk,positive,2
The Apartment,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",man try rise company letting executive use apartment tryst complication romance ensue,neutral,1
North by Northwest,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,new york city advertising executive go run mistaken government agent group foreign spy,positive,0
Vertigo,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,former police detective juggle wrestling personal demon becoming obsessed hauntingly beautiful woman,positive,2
Singin' in the Rain,A silent film production company and cast make a difficult transition to sound.,silent film production company cast make difficult transition sound,negative,2
Ikiru,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,bureaucrat try find meaning life discovers terminal cancer,neutral,1
Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",postwar italy workingclass man bicycle stolen son set find,neutral,1
Double Indemnity,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,insurance representative let talked seductive housewife murderinsurance fraud scheme arouses suspicion insurance investigator,neutral,1
Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",following death publishing tycoon charles foster kane reporter scramble uncover meaning final utterance rosebud,neutral,1
M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",police german city unable catch childmurderer criminal join manhunt,negative,0
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",futuristic city sharply divided working class city planner son city mastermind fall love workingclass prophet predicts coming savior mediate difference,positive,2
The Kid,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",tramp care abandoned child event put relationship jeopardy,neutral,1
Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",tragic incident force anirudh middleaged man take trip memory lane reminisce college day along friend labelled loser,negative,0
Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",indian army special force execute covert operation avenging killing fellow army men base terrorist group,negative,0
K.G.F: Chapter 1,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",fierce rebel rise brutal oppression becomes symbol hope legion downtrodden people,negative,0
Green Book,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,workingclass italianamerican bouncer becomes driver africanamerican classical pianist tour venue american south,neutral,1
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,mother personally challenge local authority solve daughter murder fail catch culprit,negative,0
Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,experienced investigator confronts several conflicting theory perpetrator violent double homicide,neutral,0
Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",shiva son bahubali learns heritage begin look answer story juxtaposed past event unfolded mahishmati kingdom,negative,0
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",simple act kindness always spark another even frozen faraway place smeerensburgs new postman jesper befriends toymaker klaus gift melt ageold feud deliver sleigh full holiday tradition,positive,2
Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",desperate measure taken man try save family dark side law commit unexpected crime,negative,0
